"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","334,922,499","*****","5,086,768","*****","735,706","*****","7,378,838","*****","3,049,391","*****","39,287,377","*****","5,862,189","*****","3,624,508","*****","1,021,191","*****","681,294","*****","22,416,077","*****","10,940,407","*****","1,445,235","*****","1,934,262","*****","12,694,798","*****","6,851,073","*****","3,210,507","*****","2,947,197","*****","4,534,824","*****","4,611,961","*****","1,387,817","*****","6,206,011","*****","7,044,056","*****","10,077,761","*****","5,739,445","*****","2,946,779","*****","6,191,814","*****","1,116,875","*****","1,978,707","*****","3,184,612","*****","1,394,868","*****","9,343,809","*****","2,120,246","*****","19,852,366","*****","10,730,404","*****","784,841","*****","11,810,293","*****","4,028,634","*****","4,254,293","*****","13,018,639","*****","1,101,801","*****","5,296,225","*****","907,428","*****","7,066,383","*****","30,188,424","*****","3,392,331","*****","647,106","*****","8,705,170","*****","7,816,116","*****","1,778,373","*****","5,914,872","*****","582,397","*****","3,234,309","*****"
"    Not Hispanic or Latino","270,163,129","±1,718","4,802,633","±217","681,903","±117","5,065,032","*****","2,773,820","±225","23,508,414","*****","4,541,252","*****","2,961,997","*****","908,356","*****","600,142","*****","16,269,916","*****","9,735,791","±548","1,301,644","*****","1,670,327","*****","10,307,749","±285","6,260,725","±246","2,976,801","±145","2,547,179","±114","4,308,080","±424","4,279,245","±268","1,357,551","*****","5,431,065","*****","6,107,203","*****","9,485,716","±47","5,373,614","±83","2,836,823","±670","5,867,435","±135","1,065,943","±159","1,726,684","±41","2,241,043","*****","1,329,485","*****","7,244,849","*****","1,093,632","*****","15,916,281","*****","9,516,554","*****","748,266","±124","11,247,553","±221","3,517,830","*****","3,629,695","*****","11,883,358","±122","906,886","*****","4,905,849","±330","863,651","±217","6,542,855","±277","18,196,957","±187","2,852,711","±65","630,561","*****","7,746,081","±188","6,692,502","*****","1,740,198","±474","5,442,942","*****","520,350","*****","33,436","±1,984"
"    Hispanic or Latino:","64,759,370","±1,547","284,135","±217","53,803","±117","2,313,806","*****","275,571","±225","15,778,963","*****","1,320,937","*****","662,511","*****","112,835","*****","81,152","*****","6,146,161","*****","1,204,616","±548","143,591","*****","263,935","*****","2,387,049","±283","590,348","±246","233,706","±140","400,018","±110","226,744","±427","332,716","±268","30,266","*****","774,946","*****","936,853","*****","592,045","±30","365,831","±77","109,956","±669","324,379","±126","50,932","±159","252,023","±34","943,569","*****","65,383","*****","2,098,960","*****","1,026,614","*****","3,936,085","*****","1,213,850","*****","36,575","±124","562,740","±221","510,804","*****","624,598","*****","1,135,281","±112","194,915","*****","390,376","±330","43,777","±216","523,528","±277","11,991,467","±185","539,620","±65","16,545","*****","959,089","±187","1,123,614","*****","38,175","±474","471,930","*****","62,047","*****","3,200,873","±1,984"
"        Mexican","37,921,535","±57,419","164,039","±3,915","28,530","±1,451","1,987,288","±8,181","191,090","±3,438","12,695,747","±20,558","927,743","±9,028","63,957","±3,706","36,799","±2,527","16,516","±1,611","749,524","±13,955","604,477","±9,372","49,081","±2,339","211,895","±2,442","1,825,458","±9,864","393,454","±4,964","161,275","±2,701","307,934","±3,052","111,299","±3,698","99,275","±4,113","9,096","±717","122,040","±6,048","55,586","±2,880","402,413","±3,876","223,736","±3,903","57,760","±2,219","201,143","±3,174","32,349","±1,175","172,513","±3,702","681,607","±5,710","10,947","±1,223","243,086","±7,539","687,091","±6,670","508,225","±10,966","600,832","±9,150","22,223","±1,078","237,328","±4,832","389,636","±4,352","488,155","±4,230","184,589","±6,153","11,648","±1,497","177,453","±5,248","23,737","±1,017","270,718","±5,614","9,677,014","±24,417","363,157","±6,050","3,996","±583","210,946","±5,674","846,993","±6,139","13,902","±1,055","319,907","±3,852","46,328","±1,061","7,116","±929"
"        Puerto Rican","5,965,360","±37,948","25,521","±2,074","6,957","±842","53,298","±3,115","9,722","±1,301","222,082","±5,881","41,982","±2,960","292,677","±5,162","32,044","±1,916","5,371","±999","1,245,819","±16,401","126,566","±4,843","47,134","±2,141","6,383","±899","207,101","±6,396","53,919","±3,078","11,157","±1,409","17,748","±1,523","21,717","±1,468","18,190","±1,673","6,662","±676","71,352","±3,753","326,360","±7,265","52,736","±1,993","18,956","±1,629","10,017","±1,155","24,923","±1,923","2,537","±373","6,354","±801","30,954","±2,247","19,968","±1,555","475,835","±8,802","10,970","±1,094","1,004,934","±12,759","134,733","±5,384","4,203","±672","145,627","±3,869","20,005","±1,593","16,163","±1,369","481,068","±7,859","43,462","±2,623","54,499","±3,589","3,664","±766","42,912","±2,745","255,632","±7,602","14,582","±1,541","3,471","±407","119,931","±4,054","42,821","±2,390","5,654","±669","67,398","±2,867","1,589","±462","3,090,320","±4,367"
"        Cuban","2,593,343","±21,630","10,163","±1,226","1,963","±537","24,600","±2,200","2,996","±751","98,684","±4,085","16,154","±1,531","14,875","±1,760","2,346","±634","3,100","±697","1,630,295","±15,820","41,946","±2,989","2,201","±418","1,619","±426","32,552","±2,520","9,342","±1,101","4,581","±676","5,215","±833","34,404","±2,595","15,680","±1,779","1,466","±319","16,291","±1,667","15,844","±1,390","19,739","±1,848","6,536","±994","3,135","±771","8,607","±1,037","1,045","±347","8,425","±1,127","41,057","±3,049","1,909","±444","94,637","±4,399","6,089","±1,082","84,627","±4,022","35,761","±2,979","564","±269","12,972","±1,296","5,542","±771","8,967","±1,280","26,741","±1,933","2,474","±550","14,899","±1,451","1,293","±299","18,592","±1,679","150,621","±7,508","4,561","±1,065","924","±252","25,389","±2,125","12,924","±1,245","1,444","±305","7,171","±852","381","±164","11,995","±1,095"
"        Dominican (Dominican Republic)","2,422,597","±23,498","3,739","±863","2,322","±863","7,328","±1,514","1,271","±569","25,628","±2,169","5,612","±1,167","58,838","±3,618","7,430","±1,644","3,453","±816","297,893","±8,190","32,270","±2,870","1,885","±576","521","±216","10,133","±1,229","6,461","±1,341","1,659","±463","1,764","±498","2,112","±462","8,462","±1,333","848","±228","31,559","±2,974","191,914","±5,435","8,369","±1,158","4,252","±1,073","1,956","±483","3,379","±652","380","±173","1,406","±418","4,086","±929","11,760","±1,504","374,675","±9,182","3,396","±667","907,677","±13,445","37,934","±2,844","316","±186","16,918","±1,788","2,858","±759","2,018","±569","185,287","±5,918","63,717","±4,120","7,601","±1,210","297","±193","6,365","±1,057","40,149","±3,043","4,288","±889","628","±234","18,917","±1,989","5,413","±975","1,100","±391","4,298","±777","55","±65","55,044","±2,701"
"        Central American:","6,775,931","±53,407","43,294","±3,166","3,267","±722","68,406","±4,070","47,242","±3,309","1,597,057","±17,075","55,753","±3,678","65,858","±4,475","18,145","±2,134","28,446","±2,321","670,605","±14,203","206,564","±8,306","4,130","±814","9,029","±1,251","102,759","±4,770","61,889","±3,349","33,019","±2,260","31,965","±2,266","28,820","±2,289","114,409","±4,554","2,985","±588","365,270","±7,314","171,265","±6,559","34,860","±2,509","43,230","±2,564","19,328","±2,040","38,200","±2,464","1,917","±379","39,243","±3,276","96,430","±3,888","6,276","±961","287,346","±8,859","11,529","±1,536","468,694","±11,611","228,000","±6,994","2,233","±492","61,371","±3,798","40,963","±2,929","36,865","±2,733","80,544","±5,084","41,418","±3,460","59,266","±3,551","9,123","±1,077","108,357","±5,048","835,220","±15,056","38,992","±3,046","1,186","±337","344,427","±8,529","79,384","±4,273","5,532","±789","24,216","±1,816","1,604","±485","3,624","±578"
"            Costa Rican","191,282","±5,460","857","±348","195","±105","2,959","±647","660","±361","29,873","±2,325","2,251","±506","4,056","±876","320","±172","853","±438","30,817","±2,673","6,192","±1,797","285","±129","424","±245","2,943","±541","1,247","±358","555","±298","541","±185","595","±261","2,616","±857","356","±152","3,898","±747","5,957","±1,216","1,729","±465","1,182","±366","374","±149","1,214","±382","137","±127","660","±363","1,813","±523","422","±215","24,966","±2,352","669","±327","13,718","±2,043","6,279","±1,082","145","±105","3,027","±843","772","±355","2,549","±682","5,092","±864","678","±452","2,911","±787","26","±24","1,275","±529","12,020","±1,585","1,384","±361","78","±101","4,462","±788","3,100","±812","466","±198","1,659","±418","25","±36","773","±337"
"            Guatemalan","1,926,611","±28,389","27,048","±2,734","572","±194","26,094","±2,419","12,397","±2,101","512,341","±11,147","14,979","±1,939","31,298","±3,033","11,963","±1,988","5,039","±1,187","171,973","±9,511","78,871","±6,078","854","±293","3,487","±640","45,473","±2,911","18,870","±2,224","14,308","±1,512","12,940","±1,808","14,661","±1,811","12,902","±1,747","826","±361","72,329","±4,488","58,416","±3,955","14,847","±1,859","13,725","±1,359","7,629","±1,420","13,324","±1,183","261","±108","20,233","±2,300","25,389","±2,170","1,346","±561","88,166","±5,141","4,050","±929","104,278","±5,529","50,232","±3,884","388","±197","20,637","±2,448","20,602","±2,143","15,763","±2,376","27,696","±2,817","33,827","±3,109","17,718","±2,151","4,273","±798","44,553","±3,517","138,962","±7,272","12,923","±1,677","327","±165","66,392","±4,904","23,275","±2,687","1,540","±430","5,849","±784","765","±354","425","±187"
